ID,campaign,wp_md,wp_pd,plot,date,rounded_time,height_m,dbh_2023_cm,diameter_m,crown_area_m2,crown_volume_m3,wind_problems,time,vpd16m,vpd42m,size_class
Control_308,Oct-23,-3.133333333,-1.143333333,Control,10/10/2023,10/10/2023 13:00,44.60525012,87.21690881,1.139151033,272.4487122,1582.005186,FALSE,10/10/2023 13:00,1.809188959,1.992434472,Emergent
Control_317,Oct-23,-3.091666667,-1.555,Control,11/10/2023,11/10/2023 13:00,25.32374978,20.53098766,0.107944219,24.08821987,79.50591984,FALSE,11/10/2023 13:00,1.355952394,1.477382896,Subcanopy
TFE_111,Feb-24,-3.013333333,-0.686666667,TFE,21/02/2024,21/02/2024 13:00,30.24374771,50.92958179,0.514414347,129.8103211,574.4814587,TRUE,21/02/2024 13:00,0.827869006,1.589891026,Emergent
Control_315,Oct-23,-2.585,-1.178333333,Control,11/10/2023,11/10/2023 12:00,23.12274981,17.82535363,0.22291522,31.38010704,98.04178961,FALSE,11/10/2023 12:00,1.46906227,1.562696396,Subcanopy
Control_218,Oct-23,-2.541666667,-0.516666667,Control,10/10/2023,10/10/2023 13:00,31.59500074,29.44366447,0.28632666,41.73885453,200.467685,FALSE,10/10/2023 13:00,1.809188959,1.992434472,Subcanopy
Control_363,Oct-23,-2.433333333,-1.198333333,Control,11/10/2023,11/10/2023 12:00,32.89274931,64.6169069,0.628964233,118.3157548,558.8401691,FALSE,11/10/2023 12:00,1.46906227,1.562696396,Emergent
TFE_111,Dec-23,-2.39,-0.71,TFE,14/12/2023,14/12/2023 13:00,30.24374771,50.92958179,0.514414347,129.8103211,574.4814587,TRUE,14/12/2023 13:00,0.893280874,0.869723047,Emergent
TFE_217,Oct-23,-2.373333333,-0.75,TFE,12/10/2023,12/10/2023 12:00,22.76125145,38.51549623,0.385238536,122.737432,639.7528176,FALSE,12/10/2023 12:00,1.416383468,1.510949932,Emergent
Control_354,Dec-23,-2.303333333,-0.951,Control,13/12/2023,13/12/2023 12:00,36.07474828,51.40704662,0.489988797,93.82904993,441.9291825,FALSE,13/12/2023 12:00,0.961288778,1.173750037,Emergent
Control_264,Oct-23,-2.3,-1.031666667,Control,10/10/2023,10/10/2023 12:00,27.21600056,29.28450953,0.375361931,61.12434923,244.8962009,FALSE,10/10/2023 12:00,1.771776584,1.885753679,Subcanopy
Control_204,Oct-23,-2.241666667,-0.136666667,Control,10/10/2023,10/10/2023 12:00,31.78474832,52.83944111,0.507074208,100.9321944,551.3281761,FALSE,10/10/2023 12:00,1.771776584,1.885753679,Emergent
Control_215,Jul-23,-2.227666667,-0.05,Control,15/07/2023,15/07/2023 14:00,37.08650184,70.66479473,0.717267398,42.93890035,164.8538103,FALSE,15/07/2023 14:00,1.286004924,1.440623774,Emergent
Control_363,Jul-23,-2.166666667,-0.136666667,Control,13/07/2023,13/07/2023 13:00,32.89274931,64.6169069,0.628964233,118.3157548,558.8401691,FALSE,13/07/2023 13:00,0.756509806,1.008010169,Emergent
Control_317,May-23,-2.116666667,-0.07,Control,24/05/2023,24/05/2023 12:00,25.32374978,20.53098766,0.107944219,24.08821987,79.50591984,FALSE,24/05/2023 12:00,0.666328099,1.118716065,Subcanopy
TFE_214.1,Dec-23,-2.11,-0.926666667,TFE,13/12/2023,13/12/2023 12:00,10.09950066,10.50422624,0.138686649,11.04288934,16.33655393,FALSE,13/12/2023 12:00,0.961288778,1.173750037,Subcanopy
TFE_82,May-24,-2.079666667,-0.47,TFE,27/05/2024,27/05/2024 13:00,29.60674858,33.42253805,0.347894812,53.90296295,195.8465954,TRUE,27/05/2024 13:00,1.063343721,0.735961157,Emergent
TFE_169,May-24,-2.075666667,-0.818333333,TFE,28/05/2024,28/05/2024 13:00,36.61975098,58.56901906,0.598824973,75.96887392,329.1544091,FALSE,28/05/2024 13:00,0.754405572,0.541860045,Emergent
TFE_267,Oct-23,-2.066666667,-0.875,TFE,11/10/2023,11/10/2023 13:00,34.60675049,63.18451241,0.844033899,20.75329534,117.9592008,FALSE,11/10/2023 13:00,1.355952394,1.477382896,Emergent
Control_354,Feb-24,-2.03,-0.59,Control,21/02/2024,21/02/2024 13:00,36.07474828,51.40704662,0.489988797,93.82904993,441.9291825,FALSE,21/02/2024 13:00,0.827869006,1.589891026,Emergent
TFE_178,Dec-23,-2.016666667,-0.886666667,TFE,14/12/2023,14/12/2023 13:00,29.98249817,31.51267873,0.361348455,38.41297195,86.25094363,TRUE,14/12/2023 13:00,0.893280874,0.869723047,Emergent
TFE_121.1,Oct-23,-1.95,-0.213333333,TFE,10/10/2023,10/10/2023 14:00,15.55624962,14.96056465,0.204422035,23.12161109,69.45099341,FALSE,10/10/2023 14:00,2.031484729,2.113309735,Subcanopy
TFE_116,Oct-23,-1.944444444,-0.758333333,TFE,10/10/2023,10/10/2023 13:00,25.59875107,24.82817112,0.269401064,26.76576336,140.6014033,FALSE,10/10/2023 13:00,1.809188959,1.992434472,Subcanopy
TFE_169,Jul-23,-1.919666667,-0.125666667,TFE,14/07/2023,14/07/2023 13:00,36.61975098,58.56901906,0.598824973,75.96887392,329.1544091,FALSE,14/07/2023 13:00,0.913994645,1.304349123,Emergent
Control_308,Jul-23,-1.894,-0.097,Control,14/07/2023,14/07/2023 14:00,44.60525012,87.21690881,1.139151033,272.4487122,1582.005186,FALSE,14/07/2023 14:00,1.258727284,1.530856732,Emergent
Control_354,May-23,-1.85,-0.308333333,Control,24/05/2023,24/05/2023 14:00,36.07474828,51.40704662,0.489988797,93.82904993,441.9291825,FALSE,24/05/2023 14:00,0.857064603,0.925643741,Emergent
TFE_205,Oct-23,-1.85,-0.831666667,TFE,11/10/2023,11/10/2023 13:00,18.80849838,29.60281942,0.272970501,5.97779547,9.892845109,FALSE,11/10/2023 13:00,1.355952394,1.477382896,Subcanopy
Control_359,Oct-23,-1.841666667,-0.488333333,Control,12/10/2023,12/10/2023 13:00,31.85925174,34.69577759,0.345180311,74.13974446,257.1638195,FALSE,12/10/2023 13:00,1.429423249,1.642755751,Emergent
TFE_214.1,Feb-24,-1.803,-0.156666667,TFE,21/02/2024,21/02/2024 12:00,10.09950066,10.50422624,0.138686649,11.04288934,16.33655393,FALSE,21/02/2024 12:00,0.576732119,0.237413651,Subcanopy
TFE_211,Feb-24,-1.78,-0.13,TFE,21/02/2024,21/02/2024 12:00,24.54899979,29.28450953,0.294218233,36.96572467,219.1200545,FALSE,21/02/2024 12:00,0.576732119,0.237413651,Subcanopy
TFE_211,Oct-23,-1.688333333,-0.255,TFE,11/10/2023,11/10/2023 13:00,24.54899979,29.28450953,0.294218233,36.96572467,219.1200545,FALSE,11/10/2023 13:00,1.355952394,1.477382896,Subcanopy
Control_354,Jul-23,-1.685333333,-0.206666667,Control,14/07/2023,14/07/2023 14:00,36.07474828,51.40704662,0.489988797,93.82904993,441.9291825,FALSE,14/07/2023 14:00,1.258727284,1.530856732,Emergent
Control_308,May-24,-1.669666667,-0.277,Control,27/05/2024,27/05/2024 12:00,44.60525012,87.21690881,1.139151033,272.4487122,1582.005186,FALSE,27/05/2024 12:00,0.877905958,0.436707843,Emergent
Control_312,Feb-24,-1.663333333,-0.233333333,Control,21/02/2024,21/02/2024 13:00,26.85324931,28.64788976,0.251972336,75.57346098,225.9149319,FALSE,21/02/2024 13:00,0.827869006,1.589891026,Subcanopy
TFE_267,Feb-24,-1.66,-0.463333333,TFE,22/02/2024,22/02/2024 13:00,34.60675049,63.18451241,0.844033899,20.75329534,117.9592008,FALSE,22/02/2024 13:00,1.432109545,1.737777747,Emergent
TFE_168,Dec-23,-1.653333333,-0.706666667,TFE,13/12/2023,13/12/2023 12:00,27.17225075,37.24225668,0.382537192,73.95437635,395.713524,FALSE,13/12/2023 12:00,0.961288778,1.173750037,Emergent
Control_357,Oct-23,-1.65,-0.498333333,Control,12/10/2023,12/10/2023 13:00,23.23125076,15.91549431,0.150712333,35.82118108,124.8107955,FALSE,12/10/2023 13:00,1.429423249,1.642755751,Subcanopy
TFE_213,May-23,-1.645,-0.07,TFE,25/05/2023,25/05/2023 13:00,23.32100105,22.91831181,0.258461415,25.68634428,76.92666757,FALSE,25/05/2023 13:00,1.197202067,1.457526091,Subcanopy
