plot,date,absolute_wc_0_50cm_l_m2,absolute_wc_50_100cm_l_m2,absolute_wc_100_250cm_l_m2,absolute_wc_250_400cm_l_m2,absolute_wc_0_400cm_l_m2,ew_0_400_cm,carbon_biomass_MgC_ha,lower_95ci_carbon_biomass_MgC_ha,upper_95ci_carbon_biomass_MgC_ha,wc_per_biomass_mm_MgC,lower_95ci_wc_per_biomass_mm_MgC,upper_95ci_wc_per_biomass_mm_MgC
Control,2023-12-21,108.27259166666668,117.35082916666668,332.2338,201.81405,759.6712708333332,0.42804276769534055,256.5877988302881,233.1501653256598,279.8730728005987,2.9606679440583763,3.2582917956426862,2.7143421238476075
Control,2023-12-22,107.0152770833333,116.26399791666664,331.97807499999993,201.558325,756.8156749999998,0.4237892355406758,256.5877988302881,233.1501653256598,279.8730728005987,2.9495388262813376,3.246043913127378,2.7041389420811077
Control,2023-12-23,105.374375,115.091925,331.53055624999996,201.62225624999996,753.6191124999999,0.4190278189496335,256.5877988302881,233.1501653256598,279.8730728005987,2.9370808586204737,3.232333596878899,2.692717469954429
Control,2023-12-24,103.88264583333331,113.98378333333336,330.69945000000007,201.23866875,749.8045479166667,0.4133458618176563,256.5877988302881,233.1501653256598,279.8730728005987,2.9222143505451768,3.215972619489048,2.679087846549926
Control,2023-12-25,102.36960625,112.70515833333334,330.0601374999999,200.27969999999996,745.4146020833331,0.4068068496992909,256.5877988302881,233.1501653256598,279.8730728005987,2.9051054082909222,3.1971437851744686,2.663402358162619
Control,2023-12-26,101.47456875,111.31998125,329.16510000000005,200.27969999999996,742.23935,0.40207717588552233,256.5877988302881,233.1501653256598,279.8730728005987,2.892730493747798,3.1835248710343134,2.652057029183452
Control,2023-12-27,100.72870416666666,110.2118395833333,329.0372375,200.27969999999996,740.2574812499998,0.39912509759907583,256.5877988302881,233.1501653256598,279.8730728005987,2.8850065537980623,3.1750244749602556,2.644975716464911
Control,2023-12-28,100.49428958333333,109.23156041666664,328.27006249999994,200.27969999999996,738.2756124999999,0.3961730193126295,256.5877988302881,233.1501653256598,279.8730728005987,2.8772826138483265,3.166524078886199,2.6378944037463703
Control,2023-12-29,100.49428958333333,108.91190416666664,327.63075,200.27969999999996,737.3166437499999,0.3947445943353168,256.5877988302881,233.1501653256598,279.8730728005987,2.8735452235500674,3.162410984011655,2.634467962108367
Control,2023-12-30,100.5156,108.50700625,328.5257875,200.27969999999996,737.82809375,0.39550642098988376,256.5877988302881,233.1501653256598,279.8730728005987,2.875538498375806,3.1646046346114125,2.636295397648636
